ppm default intensity1 intensity2
3.225398571 0.633226434 5.110296688 1.0809334594
3.225948323 0.663777565 10.7137040080933 2.26617001780933
3.226498076 0.716321324 23.1235734519635 4.89111411159635
3.227047828 0.775181667 50.0472891561999 10.58603691802
3.227597581 0.916966778 118.40244277912 25.044565881112
3.228147334 1.224153902 316.135362396719 66.8691686172719
3.228697086 1.834695575 947.613122079942 200.439777327994
3.229246839 2.82051949 2913.57467279685 616.281312527685
3.229796592 3.934707778 8129.04499861305 1719.46117191251
3.230346344 4.477070254 18499.1148568685 3912.94545873005
3.230896097 4.019481758 3.934707778 3.934707778
3.231445849 2.905696913 2.84441351707503 2.84441351707503
3.231995602 1.959890473 1.91855486662995 1.91855486662995
3.232545355 1.396668205 1.36721139200622 1.36721139200622
3.233095107 1.130175501 1.10633922530909 1.10633922530909
3.23364486 1.098876315 1.07570016335685 1.07570016335685
3.234194612 1.096572906 1.07344533503472 1.07344533503472
3.234744365 1.021796796 1.00024631104612 1.00024631104612
3.235294118 0.909970883 0.890778893066848 0.890778893066848
