ppm intensity peak
0.322704783 0.032103302 1
0.323254535 0.018695973 1
0.323804288 0.018695973 1
0.324354041 0.018695973 1
0.324903793 0.018695973 1
0.325453546 0.018695973 1
0.326003299 0.02800681 1
0.326553051 0.038589601 1
0.327102804 0.028135064 1
0.327652556 0.00937686 1
0.328202309 0.003758673 1
0.328752062 0.032448181 1
0.329301814 0.026833297 1
0.329851567 0.019699127 1
0.330401319 0.009572384 1
0.330951072 0.00352528 1
0.331500825 0.001285652 1
0.332050577 0.03435278 1
0.33260033 0.03435278 1
0.333150082 0.04203125 1
0.333699835 0.024142877 1
0.334249588 0.033508626 1
0.33479934 0.022546009 1
0.335349093 0.013086114 1
0.335898846 0.026508313 1
0.336448598 0.012175714 1
0.336998351 0.007542552 1
0.337548103 0.002071457 1
0.338097856 0.018152054 1
0.338647609 0.016379778 1
0.339197361 0.002336554 1
0.339747114 0.002336554 1
0.340296866 0.002336554 1
0.340846619 0.002336554 1
0.341396372 0.002336554 1
0.341946124 0.011309436 1
0.342495877 0.024717494 1
0.343045629 0.018542117 1
0.343595382 0.011394743 1
0.344145135 0.011875345 1
0.344694887 -0.002242637 1
0.34524464 0.025937951 1
0.345794393 0.041299412 1
0.346344145 0.001296949 1
0.346893898 -0.017554633 1
0.34744365 0.001775499 1
0.347993403 -0.020337439 1
0.348543156 -0.009491921 1
0.349092908 -0.001233869 1
0.349642661 0.011545406 1
0.350192413 0.003476292 1
0.350742166 0.022003827 1
0.351291919 0.011615726 1
0.351841671 0.00568389 1
0.352391424 0.041242672 1
0.352941176 0.017864818 1
0.353490929 0.024050007 1
0.354040682 0.024050007 1
0.354590434 0.024050007 1
0.355140187 0.026357079 1
0.35568994 0.044857339 1
0.356239692 0.022921177 1
0.356789445 0.014898855 1
0.357339197 0.051800921 1
0.35788895 0.032860154 1
0.358438703 0.010382484 1
0.358988455 -0.018680513 1
0.359538208 0.017016085 1
0.36008796 0.004055419 1
0.360637713 0.019225037 1
0.361187466 0.019225037 1
0.361737218 0.046312739 1
0.362286971 0.025429463 1
0.362836723 0.018322767 1
0.363386476 0.012051207 1
0.363936229 -0.001630818 1
0.364485981 -0.011125387 1
0.365035734 0.007951174 1
0.365585487 0.042357943 1
0.366135239 0.02079694 1
0.366684992 0.018629294 1
0.367234744 0.052175958 1
0.367784497 0.034407721 1
0.36833425 0.012694202 1
0.368884002 0.032564049 1
0.369433755 0.032564049 1
0.369983507 0.013849176 1
0.37053326 0.02421414 1
0.371083013 0.01018966 1
0.371632765 0.008866927 1
0.372182518 0.029017707 1
0.37273227 0.011426871 1
0.373282023 0.039549387 1
0.373831776 0.033585602 1
0.374381528 0.026301578 1
0.374931281 0.027214582 1
0.375481034 0.024176288 1
0.376030786 0.017141888 1
0.376580539 0.001768066 1
0.377130291 -0.00083389 1
0.377680044 0.019538905 1
0.378229797 0.038340035 1
0.378779549 0.015948551 1
0.379329302 0.021155679 1
0.379879054 0.004806686 1
0.380428807 -0.00202954 1
0.38097856 0.018135231 1
0.381528312 0.004141536 1
0.382078065 0.004141536 1
0.382627817 0.02105266 1
0.38317757 0.026880295 1
0.383727323 -0.009386659 1
0.384277075 -0.003806842 1
0.384826828 0.029044004 1
0.385376581 0.013275734 1
0.385926333 0.010360619 1
0.386476086 0.018286209 1
0.387025838 0.022129192 1
0.387575591 0.026513591 1
0.388125344 0.02884566 1
0.388675096 -0.005978527 1
0.389224849 -0.005978527 1
0.389774601 -0.003072209 1
0.390324354 0.003009497 1
0.390874107 0.004561511 1
0.391423859 -6.81e-05 1
0.391973612 0.003775556 1
0.392523364 -0.004765398 1
0.393073117 -0.013724649 1
0.39362287 0.006444321 1
0.394172622 0.006444321 1
0.394722375 0.006444321 1
0.395272128 0.006444321 1
0.39582188 0.006444321 1
0.396371633 -0.000884673 1
0.396921385 0.032348982 1
0.397471138 0.032348982 1
0.398020891 0.032348982 1
0.398570643 0.057174094 1
0.399120396 0.044467537 1
0.399670148 0.069112292 1
0.400219901 0.028185009 1
0.400769654 -0.000265151 1
0.401319406 -0.000265151 1
0.401869159 -0.000265151 1
0.402418911 0.014707705 1
0.402968664 0.027987372 1
0.403518417 0.035929191 1
0.404068169 0.045430219 1
0.404617922 0.023409678 1
0.405167675 0.012200209 1
0.405717427 -0.003395508 1
0.40626718 0.019310709 1
0.406816932 0.01501642 1
0.407366685 0.016636378 1
0.407916438 0.015751868 1
0.40846619 0.020873983 1
0.409015943 0.016473207 1
0.409565695 0.006740612 1
0.410115448 -9.85e-05 1
0.410665201 -0.001316591 1
0.411214953 0.00466721 1
0.411764706 0.028137713 1
0.412314458 0.016074605 1
