ppm default intensity1 intensity2
3.965365585 1.858151685 8.736471305 5.297311495
3.965915338 2.152011721 10.1181129615584 6.13506234127922
3.966465091 2.751398968 12.9362518284069 7.84382539820345
3.967014843 3.963420424 18.6348127999717 11.2991166119858
3.967564596 6.127767947 28.8109249986576 17.4693464728288
3.968114349 8.943004573 42.0473223274548 25.4951634502274
3.968664101 10.31747943 48.5096904132037 29.4135849216018
3.969213854 9.29585854 16.17417816 12.73501835
3.969763606 7.389108526 12.8565594268498 10.1228339764249
3.970313359 5.757435536 10.0175564960758 7.88749601603792
3.970863112 4.531223991 7.88402962436864 6.20762680768432
3.971412864 3.733499742 6.49604226737964 5.11477100468982
3.971962617 3.560667918 6.24670573072981 4.9184515788649
3.972512369 3.590197427 6.19532634092001 4.87799712946001
3.973062122 3.08022908 5.35939458406742 4.21981183203371
3.973611875 2.585502651 4.4986033651956 3.5420530080978
3.974161627 2.465623932 4.29002233415309 3.37782313307654
3.97471138 2.623911089 9.502230709 6.063070899
3.975261132 2.955129849 10.7017062117574 6.82841803037868
3.975810885 3.531610802 12.7893741353065 8.16049246865325
3.976360638 4.425396373 16.0261288925929 10.2257626327965
3.97691039 5.559323615 20.1325326140736 12.8459281145368
3.977460143 7.265002832 26.309478739812 16.787240785906
3.978009896 8.897722567 32.2222094227026 20.5599659948513
3.978559648 8.280706389 15.159026009 11.719866199
3.979109401 5.906982743 10.813582903362 8.36028282318102
3.979659153 3.878569774 7.10028073932078 5.48942525666039
3.980208906 2.865484184 5.24568161616461 4.05558290008231
3.980758659 2.390165674 4.37554260662061 3.38285414031031
7.540406817 0.73673413 4.832010728 2.784372429
7.54095657 0.91431766 5.99672603998929 3.45552184999465
7.541506322 0.928324182 6.08859047494627 3.50845732847313
7.542056075 1.29359598 8.48429494240707 4.88894546120354
7.542605827 2.163699016 14.1910309726998 8.1773649943499
7.54315558 2.663013827 17.4658820012537 10.0644479141269
7.543705333 3.039967493 19.9382042188642 11.4890858559321
7.544255085 2.482006946 6.577283544 4.529645245
7.544804838 1.725511011 4.57257994218406 3.14904547659203
7.54535459 1.082424641 2.86841009463855 1.97541736781928
7.545904343 0.918156864 2.43310279293547 1.67562982846774
7.546454096 0.7723272695 2.04665641587 1.409491842685
7.547003848 0.74721907325 1.9801200484836 1.3636695608668
7.547553601 0.626497675 1.66021003880453 1.14335385690226
7.548103353 0.430451688 1.14069092696625 0.785571307483127
7.548653106 0.377594188 1.00061929441613 0.689106741208063
7.549202859 0.351818831 0.932314960413337 0.642066895706668
7.549752611 0.415232425 4.510509023 2.462870724
7.550302364 0.45239641 4.91420699931564 2.68330170465782
7.550852117 0.5248299 5.70102394939458 3.11292692469729
7.551401869 0.654518538 7.10978139862215 3.88214996831108
7.551951622 0.81907137 8.89725508518746 4.85816322759373
7.552501374 1.211928663 13.1647117146351 7.18832018881753
7.553051127 1.664702638 18.0830200563236 9.87386134716182
7.55360088 1.97548935 21.4589757483785 11.7172325491893
7.554150632 2.117328674 22.9997213939485 12.5585250339743
7.554700385 2.630357076 28.5725502410124 15.6014536585062
7.555250137 4.378294533 47.5597179012407 25.9690062171203
7.55579989 6.067054459 65.9040629602852 35.9855587096426
7.556349643 6.142914897 66.7281055193115 36.4355102081558
7.556899395 5.342010508 9.437287106 7.389648807
7.557449148 4.30949715 7.61323135290223 5.96136425145111
7.5579989 3.530254357 6.23660771058454 4.88343103379227
7.558548653 2.766261762 4.88692532881544 3.82659354540772
7.559098406 2.083194521 3.68020706115824 2.88170079107912
7.559648158 1.340101883 2.36744690079187 1.85377439189594
7.560197911 0.756222473 1.33595555138326 1.04608901219163
7.560747664 0.475874885 0.840688708783748 0.658281796891874
7.561297416 0.390568037 0.689984172452667 0.540276104726334
7.561847169 0.380439087 0.672090196188643 0.526264641594322
7.562396921 0.367349966 0.648966731220316 0.508158348610158
7.562946674 0.337833373 0.598657509430141 0.468764879215071
7.563496427 0.338872249 0.596822213324892 0.467327793162446
7.564046179 0.324581083 0.573410491211152 0.448995787105576
7.564595932 0.429942126 4.525218724 2.477580425
7.565145684 0.553309304 5.82368061003682 3.18849495701841
7.565695437 0.86795651 9.13539942506051 5.00167796753025
7.56624519 1.500314212 15.7910787370152 8.64569647450759
7.566794942 1.92186168 20.227942165579 11.0749019227895
7.567344695 1.985112566 20.8936691933065 11.4393908796532
7.567894447 2.048363452 21.5593962210339 11.8038798365169
7.5684442 2.84737802 29.9691692235109 16.4082736217554
7.568993953 3.888266497 40.9247089133255 22.4064877051627
7.569543705 4.426731143 46.5921468100512 25.5094389765256
7.570093458 3.542180257 7.637456855 5.589818556
7.570643211 1.979821768 4.26878426184222 3.12430301492111
7.571192963 0.968594164 2.08843017600129 1.52851217000064
7.571742716 0.751741646 1.67112513132124 1.22308858116062
7.572292468 0.775052031 1.62086454411393 1.18630309505697
7.572842221 0.560190654 1.20785268960953 0.884021671804766
7.573391974 0.332452316 0.716815643353304 0.524633979676652
